,,Date,Name,Type of food (optional),,,
,,,,,,Dates,
Week 1,Mon,,,,,**HOST** will add dates and send an email when we're starting ,
,Tues,,,,,"If we start e.g. on a Wednesday,  people who've been skipped can find another slot !",
,Wed,,,,,,
,Thurs,,,,,,
,Fri,,,,,Food Delivery Options,
,Sat,,,,,countdown.co.nz,supermarket that delivers
,Sun,,,,,delivereasy.co.nz,delivers lots of take-away options from local restaurants
Week 2,Mon,,,,,...please add to this list,
,Tues,,,,,,
,Wed,,,,,,
,Thurs,,,,,,
,Fri,,,,,,
,Sat,,,,,Contact,
,Sun,,,,,Ask **HOST** if you have any questions (and don't want to bug the new parents):,
Week 3,Mon,,,,,**HOST_EMAIL**,
,Tues,,,,,,
,Wed,,,,,,
,Thurs,,,,,,
,Fri,,,,,,
,Sat,,,,,,
,Sun,,,,,,
Week 4,Mon,,,,,,
,Tues,,,,,,
,Wed,,,,,,
,Thurs,,,,,,
,Fri,,,,,,
,Sat,,,,,,
,Sun,,,,,,
Week 5,Mon,,,,,,
,Tues,,,,,,
,Wed,,,,,,
,Thurs,,,,,,
,Fri,,,,,,
,Sat,,,,,,
,Sun,,,,,,
